DDL Definition,.Name,.DBTypeName,.Nullable,.DecimalSize,.Length,.ScanType
"t_49 DOUBLE PRECISION (100,30) UNSIGNED",t_49,,-,-,-,interface {}
t_50 REAL,t_50,,-,-,-,interface {}
"t_51 REAL (5,2)",t_51,,-,-,-,interface {}
"t_52 REAL (100,30)",t_52,,-,-,-,interface {}
t_53 REAL UNSIGNED,t_53,,-,-,-,interface {}
"t_54 REAL (5,2) UNSIGNED",t_54,,-,-,-,interface {}
"t_55 REAL (100,30) UNSIGNED",t_55,,-,-,-,interface {}
t_56 FLOAT (10),t_56,,-,-,-,interface {}
t_57 FLOAT (30),t_57,,-,-,-,interface {}
t_58 FLOAT (10) UNSIGNED,t_58,,-,-,-,interface {}
t_59 FLOAT (30) UNSIGNED,t_59,,-,-,-,interface {}
t_60 DATE,t_60,,-,-,-,interface {}
t_61 DATETIME,t_61,,-,-,-,interface {}
t_62 TIME,t_62,,-,-,-,interface {}
t_63 YEAR,t_63,,-,-,-,interface {}
t_64 YEAR (4),t_64,,-,-,-,interface {}
t_65 CHAR,t_65,,-,-,-,interface {}
t_66 CHAR (8),t_66,,-,-,-,interface {}
t_67 VARCHAR (8),t_67,,-,-,-,interface {}
t_68 BINARY,t_68,,-,-,-,interface {}
t_69 BINARY (8),t_69,,-,-,-,interface {}
t_70 VARBINARY (8),t_70,,-,-,-,interface {}
t_71 TINYBLOB,t_71,,-,-,-,interface {}
t_72 BLOB,t_72,,-,-,-,interface {}
t_73 BLOB (8),t_73,,-,-,-,interface {}
t_74 MEDIUMBLOB,t_74,,-,-,-,interface {}
t_75 LONGBLOB,t_75,,-,-,-,interface {}
t_76 TINYTEXT,t_76,,-,-,-,interface {}
t_77 TEXT,t_77,,-,-,-,interface {}
t_78 TEXT (8),t_78,,-,-,-,interface {}
t_79 MEDIUMTEXT,t_79,,-,-,-,interface {}
t_80 LONGTEXT,t_80,,-,-,-,interface {}
t_81 LONG,t_81,,-,-,-,interface {}
t_82 LONG VARCHAR,t_82,,-,-,-,interface {}
"t_83 ENUM ('a','b','c')",t_83,,-,-,-,interface {}
"t_84 SET ('a','b','c')",t_84,,-,-,-,interface {}
t_85 JSON,t_85,,-,-,-,interface {}
t_86 BIT NOT NULL,t_86,,-,-,-,interface {}
t_87 BIT (8) NOT NULL,t_87,,-,-,-,interface {}
t_88 TINYINT NOT NULL,t_88,,-,-,-,interface {}
t_89 TINYINT UNSIGNED NOT NULL,t_89,,-,-,-,interface {}
t_90 BOOL NOT NULL,t_90,,-,-,-,interface {}
t_91 BOOLEAN NOT NULL,t_91,,-,-,-,interface {}
t_92 SMALLINT NOT NULL,t_92,,-,-,-,interface {}
t_93 SMALLINT UNSIGNED NOT NULL,t_93,,-,-,-,interface {}
t_94 MEDIUMINT NOT NULL,t_94,,-,-,-,interface {}
t_95 MEDIUMINT UNSIGNED NOT NULL,t_95,,-,-,-,interface {}
t_96 INT NOT NULL,t_96,,-,-,-,interface {}
t_97 INT UNSIGNED NOT NULL,t_97,,-,-,-,interface {}
t_98 INTEGER NOT NULL,t_98,,-,-,-,interface {}
t_99 INTEGER UNSIGNED NOT NULL,t_99,,-,-,-,interface {}
t_100 BIGINT NOT NULL,t_100,,-,-,-,interface {}
t_101 BIGINT UNSIGNED NOT NULL,t_101,,-,-,-,interface {}
t_102 DECIMAL NOT NULL,t_102,,-,-,-,interface {}
t_103 DECIMAL UNSIGNED NOT NULL,t_103,,-,-,-,interface {}
"t_104 DECIMAL (8,4) NOT NULL",t_104,,-,-,-,interface {}
"t_105 DECIMAL (8,4) UNSIGNED NOT NULL",t_105,,-,-,-,interface {}
t_106 DEC NOT NULL,t_106,,-,-,-,interface {}
t_107 DEC UNSIGNED NOT NULL,t_107,,-,-,-,interface {}
"t_108 DEC (8,4) NOT NULL",t_108,,-,-,-,interface {}
"t_109 DEC (8,4) UNSIGNED NOT NULL",t_109,,-,-,-,interface {}
t_110 NUMERIC NOT NULL,t_110,,-,-,-,interface {}
t_111 NUMERIC UNSIGNED NOT NULL,t_111,,-,-,-,interface {}
"t_112 NUMERIC (8,4) NOT NULL",t_112,,-,-,-,interface {}
"t_113 NUMERIC (8,4) UNSIGNED NOT NULL",t_113,,-,-,-,interface {}
t_114 FIXED NOT NULL,t_114,,-,-,-,interface {}
t_115 FIXED UNSIGNED NOT NULL,t_115,,-,-,-,interface {}
"t_116 FIXED (8,4) NOT NULL",t_116,,-,-,-,interface {}
"t_117 FIXED (8,4) UNSIGNED NOT NULL",t_117,,-,-,-,interface {}
t_118 FLOAT NOT NULL,t_118,,-,-,-,interface {}
"t_119 FLOAT (5,2) NOT NULL",t_119,,-,-,-,interface {}
"t_120 FLOAT (100,30) NOT NULL",t_120,,-,-,-,interface {}
t_121 FLOAT UNSIGNED NOT NULL,t_121,,-,-,-,interface {}
"t_122 FLOAT (5,2) UNSIGNED NOT NULL",t_122,,-,-,-,interface {}
"t_123 FLOAT (100,30) UNSIGNED NOT NULL",t_123,,-,-,-,interface {}
t_124 DOUBLE NOT NULL,t_124,,-,-,-,interface {}
"t_125 DOUBLE (5,2) NOT NULL",t_125,,-,-,-,interface {}
"t_126 DOUBLE (100,30) NOT NULL",t_126,,-,-,-,interface {}
t_127 DOUBLE UNSIGNED NOT NULL,t_127,,-,-,-,interface {}
"t_128 DOUBLE (5,2) UNSIGNED NOT NULL",t_128,,-,-,-,interface {}
"t_129 DOUBLE (100,30) UNSIGNED NOT NULL",t_129,,-,-,-,interface {}
t_130 DOUBLE PRECISION NOT NULL,t_130,,-,-,-,interface {}
"t_131 DOUBLE PRECISION (5,2) NOT NULL",t_131,,-,-,-,interface {}
"t_132 DOUBLE PRECISION (100,30) NOT NULL",t_132,,-,-,-,interface {}
t_133 DOUBLE PRECISION UNSIGNED NOT NULL,t_133,,-,-,-,interface {}
"t_134 DOUBLE PRECISION (5,2) UNSIGNED NOT NULL",t_134,,-,-,-,interface {}
"t_135 DOUBLE PRECISION (100,30) UNSIGNED NOT NULL",t_135,,-,-,-,interface {}
t_136 REAL NOT NULL,t_136,,-,-,-,interface {}
"t_137 REAL (5,2) NOT NULL",t_137,,-,-,-,interface {}
"t_138 REAL (100,30) NOT NULL",t_138,,-,-,-,interface {}
t_139 REAL UNSIGNED NOT NULL,t_139,,-,-,-,interface {}
"t_140 REAL (5,2) UNSIGNED NOT NULL",t_140,,-,-,-,interface {}
"t_141 REAL (100,30) UNSIGNED NOT NULL",t_141,,-,-,-,interface {}
t_142 FLOAT (10) NOT NULL,t_142,,-,-,-,interface {}
t_143 FLOAT (30) NOT NULL,t_143,,-,-,-,interface {}
t_144 FLOAT (10) UNSIGNED NOT NULL,t_144,,-,-,-,interface {}
t_145 FLOAT (30) UNSIGNED NOT NULL,t_145,,-,-,-,interface {}
t_146 DATE NOT NULL,t_146,,-,-,-,interface {}
t_147 DATETIME NOT NULL,t_147,,-,-,-,interface {}
t_148 TIME NOT NULL,t_148,,-,-,-,interface {}
t_149 YEAR NOT NULL,t_149,,-,-,-,interface {}
t_150 YEAR (4) NOT NULL,t_150,,-,-,-,interface {}
t_151 CHAR NOT NULL,t_151,,-,-,-,interface {}
t_152 CHAR (8) NOT NULL,t_152,,-,-,-,interface {}
t_153 VARCHAR (8) NOT NULL,t_153,,-,-,-,interface {}
t_154 BINARY NOT NULL,t_154,,-,-,-,interface {}
t_155 BINARY (8) NOT NULL,t_155,,-,-,-,interface {}
t_156 VARBINARY (8) NOT NULL,t_156,,-,-,-,interface {}
t_157 TINYBLOB NOT NULL,t_157,,-,-,-,interface {}
t_158 BLOB NOT NULL,t_158,,-,-,-,interface {}
t_159 BLOB (8) NOT NULL,t_159,,-,-,-,interface {}
t_160 MEDIUMBLOB NOT NULL,t_160,,-,-,-,interface {}
t_161 LONGBLOB NOT NULL,t_161,,-,-,-,interface {}
t_162 TINYTEXT NOT NULL,t_162,,-,-,-,interface {}
t_163 TEXT NOT NULL,t_163,,-,-,-,interface {}
t_164 TEXT (8) NOT NULL,t_164,,-,-,-,interface {}
t_165 MEDIUMTEXT NOT NULL,t_165,,-,-,-,interface {}
t_166 LONGTEXT NOT NULL,t_166,,-,-,-,interface {}
t_167 LONG NOT NULL,t_167,,-,-,-,interface {}
t_168 LONG VARCHAR NOT NULL,t_168,,-,-,-,interface {}
"t_169 ENUM ('a','b','c') NOT NULL",t_169,,-,-,-,interface {}
"t_170 SET ('a','b','c') NOT NULL",t_170,,-,-,-,interface {}
t_171 JSON NOT NULL,t_171,,-,-,-,interface {}
